Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCT480500000000003,LAUCT480500000000004,LAUCT480500000000005,LAUCT480500000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Austin city, TX",,,,
Area Type:,"Cities and towns above 25,000 population",,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2019,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,459941,429426,30515,6.6
2010,Feb,461604,432263,29341,6.4
2010,Mar,464429,435535,28894,6.2
2010,Apr,470021,441713,28308,6.0
2010,May,467577,439559,28018,6.0
2010,Jun,469417,439255,30162,6.4
2010,Jul,469724,439522,30202,6.4
2010,Aug,470685,441294,29391,6.2
2010,Sep,471843,443168,28675,6.1
2010,Oct,474470,446328,28142,5.9
2010,Nov,477058,448216,28842,6.0
2010,Dec,474674,447466,27208,5.7
2010,Annual,469287,440312,28975,6.2
2011,Jan,475591,446369,29222,6.1
2011,Feb,478030,450065,27965,5.9
2011,Mar,479744,452269,27475,5.7
2011,Apr,482434,455625,26809,5.6
2011,May,482267,454697,27570,5.7
2011,Jun,483232,452557,30675,6.3
2011,Jul,482734,452304,30430,6.3
2011,Aug,483674,454077,29597,6.1
2011,Sep,487564,457796,29768,6.1
2011,Oct,489235,461506,27729,5.7
2011,Nov,490385,464337,26048,5.3
2011,Dec,488535,463515,25020,5.1
2011,Annual,483618,455426,28192,5.8
2012,Jan,490655,463553,27102,5.5
2012,Feb,492212,466017,26195,5.3
2012,Mar,493298,468070,25228,5.1
2012,Apr,493837,469982,23855,4.8
2012,May,495131,470140,24991,5.0
2012,Jun,497862,470366,27496,5.5
2012,Jul,498116,470619,27497,5.5
2012,Aug,496313,470441,25872,5.2
2012,Sep,501585,477432,24153,4.8
2012,Oct,506146,482280,23866,4.7
2012,Nov,507386,484754,22632,4.5
2012,Dec,505936,482892,23044,4.6
2012,Annual,498207,473046,25161,5.1
2013,Jan,506593,479852,26741,5.3
2013,Feb,506970,482261,24709,4.9
2013,Mar,507465,483724,23741,4.7
2013,Apr,511902,489336,22566,4.4
2013,May,513593,489848,23745,4.6
2013,Jun,515611,489323,26288,5.1
2013,Jul,515515,489982,25533,5.0
2013,Aug,513580,489587,23993,4.7
2013,Sep,517115,493319,23796,4.6
2013,Oct,516194,492863,23331,4.5
2013,Nov,521415,500207,21208,4.1
2013,Dec,519053,499243,19810,3.8
2013,Annual,513750,489962,23788,4.6
2014,Jan,521500,500177,21323,4.1
2014,Feb,525118,503872,21246,4.0
2014,Mar,527650,507006,20644,3.9
2014,Apr,526451,508974,17477,3.3
2014,May,527373,507846,19527,3.7
2014,Jun,528912,508482,20430,3.9
2014,Jul,529906,508256,21650,4.1
2014,Aug,527938,506943,20995,4.0
2014,Sep,529853,510125,19728,3.7
2014,Oct,532943,514479,18464,3.5
2014,Nov,534321,516559,17762,3.3
2014,Dec,530165,514066,16099,3.0
2014,Annual,528511,508899,19612,3.7
2015,Jan,528693,510475,18218,3.4
2015,Feb,529884,513302,16582,3.1
2015,Mar,531321,515701,15620,2.9
2015,Apr,534863,520475,14388,2.7
2015,May,537685,521735,15950,3.0
2015,Jun,538419,521578,16841,3.1
2015,Jul,537524,520295,17229,3.2
2015,Aug,535987,520121,15866,3.0
2015,Sep,539502,523475,16027,3.0
2015,Oct,542690,526935,15755,2.9
2015,Nov,546625,531147,15478,2.8
2015,Dec,546180,531639,14541,2.7
2015,Annual,537448,521407,16041,3.0
2016,Jan,544458,527768,16690,3.1
2016,Feb,549009,532700,16309,3.0
2016,Mar,551417,534942,16475,3.0
2016,Apr,552116,537069,15047,2.7
2016,May,552186,536757,15429,2.8
2016,Jun,555910,538017,17893,3.2
2016,Jul,558686,539924,18762,3.4
2016,Aug,556026,537855,18171,3.3
2016,Sep,560175,541457,18718,3.3
2016,Oct,562319,544403,17916,3.2
2016,Nov,564125,546911,17214,3.1
2016,Dec,562627,545780,16847,3.0
2016,Annual,555755,538632,17123,3.1
2017,Jan,551358,532823,18535,3.4
2017,Feb,555899,537363,18536,3.3
2017,Mar,556822,539351,17471,3.1
2017,Apr,558734,543231,15503,2.8
2017,May,558511,542377,16134,2.9
2017,Jun,560462,543207,17255,3.1
2017,Jul,563332,545644,17688,3.1
2017,Aug,560461,542757,17704,3.2
2017,Sep,566612,550443,16169,2.9
2017,Oct,565769,550725,15044,2.7
2017,Nov,568447,552736,15711,2.8
2017,Dec,568131,552882,15249,2.7
2017,Annual,561212,544462,16750,3.0
2018,Jan,570537,553965,16572,2.9
2018,Feb,577060,560332,16728,2.9
2018,Mar,576834,560393,16441,2.9
2018,Apr,577925,563090,14835,2.6
2018,May,577781,563062,14719,2.5
2018,Jun,580580,563320,17260,3.0
2018,Jul,582214,565383,16831,2.9
2018,Aug,576321,559684,16637,2.9
2018,Sep,580538,564680,15858,2.7
2018,Oct,581771,566677,15094,2.6
2018,Nov,583833,568948,14885,2.5
2018,Dec,583178,568316,14862,2.5
2018,Annual,579048,563154,15894,2.7
2019,Jan,583509,565256,18253,3.1
2019,Feb,588274,571850,16424,2.8
2019,Mar,587038,572088,14950,2.5
2019,Apr,585655,573240,12415,2.1
2019,May,585176,573123,12053,2.1
2019,Jun,588644,573957,14687,2.5
2019,Jul,588780,573254,15526,2.6
2019,Aug,584711,569621,15090,2.6
2019,Sep,590052,575793,14259,2.4
2019,Oct,594759,580749,14010,2.4
2019,Nov,597139,583073,14066,2.4
