Data Item,1990,2000,2010,2018
Total Population,465622,656562,790390,964243
Non-Hispanic White,287289,347554,385271,452110
African-American,55409,64259,60760,69770
Hispanic-Latino,106162,200579,277709,320562
Asian,15366,30915,49506,68181
American Indian,N/A,1854,1967,1591
Multi-Racial,N/A,10158,13677,21847
Other,1397,1243,1448,1694
Under 5,7.6,7.1,7.3,6.27
5 to 17,15.5,15.4,14.9,13.46
18 to 24,17.7,16.6,14.5,10.4
25 to 34,22.7,21.1,20.7,22.74
35 to 44,15.6,16,14.8,15.6
45 to 54,7.9,11.6,12.1,11.87
55 to 64,5.6,5.6,8.7,10.34
Over 65,7.4,6.7,7,9.36
Median Age,28.3,29.6,31,32
Male,49.93,51.41,50.57,50.04
Female,50.07,48.59,49.43,49.6
Occupied Units,217054,276842,354241,425076
Owner Occupied,77974,119102,146666,175016
Renter Occupied,114174,146547,178226,215379
Median Household Income(inflation adj.),43399,54450,50132,71543
Poverty Rate,17.9,14.4,18.4,13.3
Vacancy Rate,11.5,4,8.3,8.2
Owner Rate,40.6,44.8,45.1,45
Bachelor's Degree or Higher,34.4,40.4,43.9,54.1
Average Household Size,2.33,2.4,2.37,2.4
Family Households,104791,141589,168582,214238
